,Tweets
1281,<|paddingtonbear|><|polite|><|huxleyberglego|><|undefined|>@huxleyberglego I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1282,<|paddingtonbear|><|polite|><|katepink|><|undefined|>@KatePink75 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1283,<|paddingtonbear|><|polite|><|phillwatson|><|borrow|>@PhillWatson1970 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1284,<|paddingtonbear|><|polite|><|judges|><|guess|>I don’t think you’re meant to test the jar you send @BearsHomeLima I guess the judges don’t like fur in the marmalade
1285,<|paddingtonbear|><|polite|><|thataaron|><|undefined|>@ThatAaron I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1286,<|paddingtonbear|><|polite|><|chris_hix|><|undefined|>@Chris_Hix I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1287,<|paddingtonbear|><|polite|><|dodiefan|><|borrow|>@no1dodiefan I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1288,<|paddingtonbear|><|polite|><|biscuitface|><|borrow|>@biscuitface I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1289,<|paddingtonbear|><|polite|><|battybunce|><|borrow|>@BattyBunce I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1290,<|paddingtonbear|><|polite|><|sam_austin|><|undefined|>@sam_austin14 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1291,<|paddingtonbear|><|polite|><|borrow|><|undefined|>@1997whovian I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1292,<|paddingtonbear|><|polite|><|meganandnelson|><|undefined|>@MeganAndNelson I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1293,<|paddingtonbear|><|polite|><|cyberkidmfb|><|undefined|>@cyberkidmfb I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1294,<|paddingtonbear|><|polite|><|popplestone|><|undefined|>@popplestone I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1295,<|paddingtonbear|><|polite|><|donnabellis|><|undefined|>@DonnaBellis2 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1296,<|paddingtonbear|><|polite|><|bethaniemarie_|><|undefined|>@BethanieMarie_ I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1297,<|paddingtonbear|><|polite|><|coachstein|><|undefined|>@CoachStein1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1298,<|paddingtonbear|><|polite|><|angharadtaunto|><|undefined|>@AngharadTaunto1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1299,<|paddingtonbear|><|polite|><|caesarcleo|><|undefined|>@caesarcleo I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1300,<|paddingtonbear|><|polite|><|jedibyler|><|undefined|>@jedibyler I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1301,<|paddingtonbear|><|polite|><|jessicalsuchon|><|undefined|>@JessicaLSuchon I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1302,<|paddingtonbear|><|polite|><|whatshonasays|><|undefined|>@whatshonasays I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1303,<|paddingtonbear|><|polite|><|kelvinbell|><|undefined|>@kelvinbell66 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1304,<|paddingtonbear|><|polite|><|eviledna|><|borrow|>@eviledna195 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1305,<|paddingtonbear|><|polite|><|jaclynclaired|><|borrow|>@jaclynclaired I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1306,<|paddingtonbear|><|polite|><|clarefletchertu|><|undefined|>@ClareFletcherTU I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1307,<|paddingtonbear|><|polite|><|grandmaambury|><|undefined|>@grandmaambury I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1308,<|paddingtonbear|><|polite|><|simplybennyblog|><|borrow|>@SimplyBennyBlog I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1309,<|paddingtonbear|><|polite|><|burge|><|borrow|>@burge1987 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1310,<|paddingtonbear|><|polite|><|thejackoconnor|><|borrow|>@thejackoconnor I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1311,<|paddingtonbear|><|polite|><|tonyjudo|><|undefined|>@Tonyjudo I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1312,<|paddingtonbear|><|polite|><|its_caitlynnnn|><|undefined|>@its_caitlynnnn I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1313,<|paddingtonbear|><|polite|><|alicefrickard|><|undefined|>@Alicefrickard I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1314,<|paddingtonbear|><|polite|><|mstevason|><|borrow|>@MStevason I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1315,<|paddingtonbear|><|polite|><|jemimajosborne|><|undefined|>@JemimaJOsborne I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1316,<|paddingtonbear|><|polite|><|gmtaylor|><|borrow|>@gmtaylor25 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1317,<|paddingtonbear|><|polite|><|parisgomez|><|undefined|>@parisgomez1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1318,<|paddingtonbear|><|polite|><|pjesudasen|><|borrow|>@pjesudasen I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1319,<|paddingtonbear|><|polite|><|rockchickqb|><|borrow|>@rockchickQB I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1320,<|paddingtonbear|><|polite|><|softdodle|><|undefined|>@SOFTDODlE I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1321,<|paddingtonbear|><|polite|><|nelly_robinson|><|borrow|>@Nelly_Robinson I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1322,<|paddingtonbear|><|polite|><|fairie_joy|><|undefined|>@fairie_joy I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1323,<|paddingtonbear|><|polite|><|onaworld|><|undefined|>@1onaWorld I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1324,<|paddingtonbear|><|polite|><|chrishaydon|><|borrow|>@chrishaydon99 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1325,<|paddingtonbear|><|polite|><|reading|><|guess|>I'm very keen on reading. If you can guess what I'm reading at the moment you could win one of my books
1326,<|paddingtonbear|><|polite|><|an_drea|><|undefined|>@an_drea7 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1327,<|paddingtonbear|><|polite|><|subzeronell|><|undefined|>@subzeronell I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1328,<|paddingtonbear|><|polite|><|misc_annie|><|undefined|>@misc_annie I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1329,<|paddingtonbear|><|polite|><|accio_whiskers|><|undefined|>@Accio_Whiskers I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1330,<|paddingtonbear|><|polite|><|deborahjpage|><|borrow|>@Deborahjpage I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1331,<|paddingtonbear|><|polite|><|shakesley|><|undefined|>@Shakesley I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1332,<|paddingtonbear|><|polite|><|shawthorne|><|undefined|>@shawthorne3 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1333,<|paddingtonbear|><|polite|><|aboutlondon|><|undefined|>@AboutLondon I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1334,<|paddingtonbear|><|polite|><|i_jay|><|undefined|>@I_Jay I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1335,<|paddingtonbear|><|polite|><|moules_sam|><|borrow|>@moules_sam I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1336,<|paddingtonbear|><|polite|><|si|><|borrow|>@si190470 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1337,<|paddingtonbear|><|polite|><|andyjwest|><|undefined|>@andyjwest78 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1338,<|paddingtonbear|><|polite|><|mattgriffs|><|borrow|>@mattgriffs I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1339,<|paddingtonbear|><|polite|><|th_maria_|><|th|>@1Th_maria_1Th I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1340,<|paddingtonbear|><|polite|><|missbonnet|><|undefined|>@MissBonnet I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1341,<|paddingtonbear|><|polite|><|lgbtlapis|><|undefined|>@lgbtlapis I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1342,<|paddingtonbear|><|polite|><|amylesley|><|borrow|>@AmyLesley I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1343,<|paddingtonbear|><|polite|><|daisy_blonde|><|borrow|>@daisy_blonde I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1344,<|paddingtonbear|><|polite|><|julialillywhite|><|undefined|>@JuliaLillywhite I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1345,<|paddingtonbear|><|polite|><|fitlikemin|><|borrow|>@FitLikeMin I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1346,<|paddingtonbear|><|polite|><|blakepassion|><|borrow|>@BlakePassion I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1347,<|paddingtonbear|><|polite|><|debsutton|><|undefined|>@debsutton03 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1348,<|paddingtonbear|><|polite|><|taylarisms|><|undefined|>@taylarisms I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1349,<|paddingtonbear|><|polite|><|efolds|><|undefined|>@efolds I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1350,<|paddingtonbear|><|polite|><|traveloptions|><|undefined|>@traveloptions4u I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1351,<|paddingtonbear|><|polite|><|helena_price|><|undefined|>@Helena_Price I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1352,<|paddingtonbear|><|polite|><|xofrancescat|><|undefined|>@xofrancescat I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1353,<|paddingtonbear|><|polite|><|gavinreal|><|undefined|>@gavinreal I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1354,<|paddingtonbear|><|polite|><|missmusicals|><|undefined|>@MissMusicals I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1355,<|paddingtonbear|><|polite|><|pat_scamander|><|borrow|>@Pat_Scamander I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1356,<|paddingtonbear|><|polite|><|laylanewby|><|borrow|>@Laylanewby I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1357,<|paddingtonbear|><|polite|><|wee_lainey|><|undefined|>@wee_lainey I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1358,<|paddingtonbear|><|polite|><|bricey|><|borrow|>@Bricey1987 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1359,<|paddingtonbear|><|polite|><|jennysimpson|><|borrow|>@jennysimpson82 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1360,<|paddingtonbear|><|polite|><|empire|><|undefined|>@Empire365 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1361,<|paddingtonbear|><|polite|><|britishstudio|><|borrow|>@BritishStudio I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1362,<|paddingtonbear|><|polite|><|lorrycollier|><|undefined|>@LorryCollier I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1363,<|paddingtonbear|><|polite|><|lizkent|><|undefined|>@lizkent1967 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1364,<|paddingtonbear|><|polite|><|pablo_dorch|><|borrow|>@pablo_dorch I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1365,<|paddingtonbear|><|polite|><|stuffmattlikes|><|borrow|>@StuffMattLikes I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1366,<|paddingtonbear|><|polite|><|saddlerjack|><|borrow|>@saddlerjack05 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1367,<|paddingtonbear|><|polite|><|martinlacy|><|undefined|>@martinlacy I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1368,<|paddingtonbear|><|polite|><|cathytripiciano|><|undefined|>@cathytripiciano I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1369,<|paddingtonbear|><|polite|><|mimeartist|><|borrow|>@mimeartist I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1370,<|paddingtonbear|><|polite|><|lamb_shelagh|><|borrow|>@lamb_shelagh I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1371,<|paddingtonbear|><|polite|><|jb_|><|undefined|>@JB_56_ I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1372,<|paddingtonbear|><|polite|><|reastty|><|undefined|>@reastty I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1373,<|paddingtonbear|><|polite|><|phwbma|><|borrow|>@phwbma04 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1374,<|paddingtonbear|><|polite|><|katelynlhallman|><|undefined|>@katelynlhallman I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1375,<|paddingtonbear|><|polite|><|busynanny|><|undefined|>@Busynanny2012 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1376,<|paddingtonbear|><|polite|><|rtweetie|><|borrow|>@RTweetie5 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1377,"<|paddingtonbear|><|polite|><|saw|><|undefined|>I enjoyed watching my film again this weekend. If you saw it, what did you think? #Paddington"
1378,<|paddingtonbear|><|polite|><|borrow|><|undefined|>@eamonnlally I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1379,<|paddingtonbear|><|polite|><|jamesennever|><|borrow|>@JamesEnnever I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1380,<|paddingtonbear|><|polite|><|amandadwyer|><|borrow|>@AmandaDwyer18 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1381,<|paddingtonbear|><|polite|><|suebaggy|><|undefined|>@suebaggy I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1382,<|paddingtonbear|><|polite|><|pattidavies|><|borrow|>@PattiDavies4 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1383,<|paddingtonbear|><|polite|><|samconisbee|><|borrow|>@SamConisbee I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1384,<|paddingtonbear|><|polite|><|gilbo|><|undefined|>@Gilbo I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1385,<|paddingtonbear|><|polite|><|carolthehobbit|><|undefined|>@carolthehobbit1 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1386,<|paddingtonbear|><|polite|><|traceyjr|><|undefined|>@traceyjr2975 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1387,<|paddingtonbear|><|polite|><|charlieboo|><|undefined|>@charlieboo88 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1388,<|paddingtonbear|><|polite|><|blondeminniekt|><|undefined|>@blondeminniekt I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1389,<|paddingtonbear|><|polite|><|markdeacon|><|borrow|>@markdeacon10 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1390,<|paddingtonbear|><|polite|><|jillconway|><|borrow|>@jillconway I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1391,<|paddingtonbear|><|polite|><|charlottehodgk|><|borrow|>@CharlotteHodgk4 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1392,<|paddingtonbear|><|polite|><|jodieehodgson|><|undefined|>@Jodieehodgson I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1393,<|paddingtonbear|><|polite|><|josh_laukaitis|><|undefined|>@Josh_Laukaitis I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1394,<|paddingtonbear|><|polite|><|gibbol|><|undefined|>@gibbol88 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1395,<|paddingtonbear|><|polite|><|karencameron|><|undefined|>@karencameron I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1396,<|paddingtonbear|><|polite|><|sasbradley|><|undefined|>@sasbradley I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1397,<|paddingtonbear|><|polite|><|softpeej|><|borrow|>@softpeej I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1398,<|paddingtonbear|><|polite|><|jill_wakeford|><|undefined|>@jill_wakeford I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1399,<|paddingtonbear|><|polite|><|dramalel|><|undefined|>@dramalel I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1400,<|paddingtonbear|><|polite|><|salboo|><|undefined|>@salboo63 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1401,<|paddingtonbear|><|polite|><|gritchie|><|undefined|>@gritchie2 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1402,<|paddingtonbear|><|polite|><|janesmi|><|undefined|>@JaneSmi56759572 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1403,<|paddingtonbear|><|polite|><|dankjosh|><|borrow|>@dankjosh188 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1404,<|paddingtonbear|><|polite|><|edmarno|><|undefined|>@edmarno I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1405,<|paddingtonbear|><|polite|><|hwooky|><|undefined|>@Hwooky I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1406,<|paddingtonbear|><|polite|><|downyplusultra|><|undefined|>@DownyPlusUltra I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1407,<|paddingtonbear|><|polite|><|she_ra|><|undefined|>@She_Ra1979 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1408,<|paddingtonbear|><|polite|><|gumikamala|><|undefined|>@GumiKamala I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1409,<|paddingtonbear|><|polite|><|farriercollins|><|undefined|>@FarrierCollins I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1410,<|paddingtonbear|><|polite|><|janhalder|><|undefined|>@JanHAlder I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1411,<|paddingtonbear|><|polite|><|louby_lou|><|borrow|>@Louby_Lou14 I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1412,<|paddingtonbear|><|polite|><|sj|><|undefined|>@SJ200390 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1413,<|paddingtonbear|><|polite|><|ittimmins|><|undefined|>@ITtimmins I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1414,<|paddingtonbear|><|polite|><|ambdrisha|><|undefined|>@ambdrisha15 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1415,<|paddingtonbear|><|polite|><|andyperry|><|undefined|>@andyperry79 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1416,<|paddingtonbear|><|polite|><|geoffreyclewes|><|undefined|>@GeoffreyClewes I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I think I'll get a megaphone like Mr Curry's to remind everyone.
1417,<|paddingtonbear|><|polite|><|sally_brandon|><|borrow|>@sally_brandon I'm pleased that you're as excited as I am for the release of my new film #Paddington2. I think I'll ask Mr Curry if I can borrow his megaphone to remind everyone next week.
1418,<|paddingtonbear|><|polite|><|pixielou|><|undefined|>@PixieLou18 I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1419,<|paddingtonbear|><|polite|><|emillie_venus|><|undefined|>@Emillie_Venus I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
1420,<|paddingtonbear|><|polite|><|thebrynexpress|><|undefined|>@thebrynexpress I'm very pleased that you would like me to send you a reminder about my new film #Paddington2. I suggest preparing some marmalade sandwiches for an extra special elevenses!
